algorithm,params,n_clusters,labels_noise,external_f1_macro,silhouette,calinski_harabasz,davies_bouldin
Agglomerative,"{'n_clusters': 10, 'linkage': 'complete'}",10,0,0.10760250391134678,0.0343952523396314,4.78022614077183,2.515623803553429
Agglomerative,"{'n_clusters': 10, 'linkage': 'average'}",10,0,0.08811756072989163,0.13533203603007343,2.4377944704424204,0.9209341436102765
Agglomerative,"{'n_clusters': 11, 'linkage': 'ward'}",11,0,0.06649738772162338,0.0804666453855102,12.867166495384868,3.0683854941058812
Agglomerative,"{'n_clusters': 11, 'linkage': 'complete'}",11,0,0.12058300471911779,0.032723098178755315,4.589774442543833,2.461623645251023
Agglomerative,"{'n_clusters': 11, 'linkage': 'average'}",11,0,0.10231707583196946,0.13288925196442009,2.368544629598828,0.9053551972997697
Agglomerative,"{'n_clusters': 12, 'linkage': 'ward'}",12,0,0.06649738772162338,0.08316533362787563,12.414974295763377,2.9947650630968248
Agglomerative,"{'n_clusters': 12, 'linkage': 'complete'}",12,0,0.1205723781105149,0.03278757372051804,4.3752900292277594,2.44554712860356
Agglomerative,"{'n_clusters': 12, 'linkage': 'average'}",12,0,0.10337012494511198,0.12882073961773705,2.3105845815228783,0.8928506816779379
Agglomerative,"{'n_clusters': 13, 'linkage': 'ward'}",13,0,0.08091885894235454,0.08666269839283539,12.027233052245306,2.873936382058118
Agglomerative,"{'n_clusters': 13, 'linkage': 'complete'}",13,0,0.1316185006391672,0.03144308351826392,4.27120920178398,2.392995408705088
Agglomerative,"{'n_clusters': 13, 'linkage': 'average'}",13,0,0.10438906376513274,0.12518877257280198,2.325141919615762,0.9394720280566287
Agglomerative,"{'n_clusters': 14, 'linkage': 'ward'}",14,0,0.10240684016787265,0.09231177241359176,11.700548699754423,2.786504781804754
Agglomerative,"{'n_clusters': 14, 'linkage': 'complete'}",14,0,0.1351645999299473,0.031722360208131115,4.073199489823359,2.194077560459442
Agglomerative,"{'n_clusters': 14, 'linkage': 'average'}",14,0,0.10865969607875252,0.1212020415282574,2.2769387381211716,0.9268018078943333
Agglomerative,"{'n_clusters': 15, 'linkage': 'ward'}",15,0,0.10240684016787265,0.09862751795378293,11.430969519584544,2.661946181436683
Agglomerative,"{'n_clusters': 15, 'linkage': 'complete'}",15,0,0.14192637244553555,0.03545563899175412,4.210846645862507,2.22427335909638
Agglomerative,"{'n_clusters': 15, 'linkage': 'average'}",15,0,0.10867505864074155,0.11778468705056098,2.2343984309940956,0.9161408271688978
DBSCAN,"{'eps': 0.5, 'min_samples': 5}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 0.5, 'min_samples': 10}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 0.5, 'min_samples': 20}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 1.0, 'min_samples': 5}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 1.0, 'min_samples': 10}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 1.0, 'min_samples': 20}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 1.5, 'min_samples': 5}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 1.5, 'min_samples': 10}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 1.5, 'min_samples': 20}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 2.0, 'min_samples': 5}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 2.0, 'min_samples': 10}",0,500,0.009256484533679618,,,
DBSCAN,"{'eps': 2.0, 'min_samples': 20}",0,500,0.009256484533679618,,,
OPTICS,"{'min_samples': 5, 'max_eps': inf}",19,338,0.061889671504284115,0.02382245278858698,7.260132512859748,1.816038798381875
OPTICS,"{'min_samples': 5, 'max_eps': 2.0}",0,500,0.009256484533679618,,,
OPTICS,"{'min_samples': 5, 'max_eps': 5.0}",0,500,0.009256484533679618,,,
OPTICS,"{'min_samples': 10, 'max_eps': inf}",5,421,0.01518375241779497,0.003731084242876655,10.982023853669022,1.9313031995313275
OPTICS,"{'min_samples': 10, 'max_eps': 2.0}",0,500,0.009256484533679618,,,
OPTICS,"{'min_samples': 10, 'max_eps': 5.0}",0,500,0.009256484533679618,,,
OPTICS,"{'min_samples': 20, 'max_eps': inf}",1,0,0.009256484533679618,,,
OPTICS,"{'min_samples': 20, 'max_eps': 2.0}",0,500,0.009256484533679618,,,
OPTICS,"{'min_samples': 20, 'max_eps': 5.0}",0,500,0.009256484533679618,,,
Birch,"{'n_clusters': 2, 'threshold': 0.5}",2,0,0.02165545194551717,0.029117844605766236,20.626047139727195,3.516125736100159
Birch,"{'n_clusters': 2, 'threshold': 1.5}",2,0,0.02165545194551717,0.029117844605766236,20.626047139727195,3.516125736100159
Birch,"{'n_clusters': 2, 'threshold': 2.5}",2,0,0.02165545194551717,0.029117844605766236,20.626047139727195,3.516125736100159
Birch,"{'n_clusters': 3, 'threshold': 0.5}",3,0,0.04380480934444501,0.04676354402767663,20.06999817753745,3.425325496698907
Birch,"{'n_clusters': 3, 'threshold': 1.5}",3,0,0.04380480934444501,0.04676354402767663,20.06999817753745,3.425325496698907
Birch,"{'n_clusters': 3, 'threshold': 2.5}",3,0,0.04380480934444501,0.04676354402767663,20.06999817753745,3.425325496698907
Birch,"{'n_clusters': 4, 'threshold': 0.5}",4,0,0.03925945393757836,0.04521456864416576,17.855138191498195,3.0171118714476233
Birch,"{'n_clusters': 4, 'threshold': 1.5}",4,0,0.03925945393757836,0.04521456864416576,17.855138191498195,3.0171118714476233
Birch,"{'n_clusters': 4, 'threshold': 2.5}",4,0,0.03925945393757836,0.04521456864416576,17.855138191498195,3.0171118714476233
Birch,"{'n_clusters': 5, 'threshold': 0.5}",5,0,0.049846884676548915,0.055276408246495504,16.706875740813157,4.151132166155835
Birch,"{'n_clusters': 5, 'threshold': 1.5}",5,0,0.049846884676548915,0.055276408246495504,16.706875740813157,4.151132166155835
Birch,"{'n_clusters': 5, 'threshold': 2.5}",5,0,0.05744583118964385,0.04245464690398453,16.588198479868865,3.360577789674225
Birch,"{'n_clusters': 6, 'threshold': 0.5}",6,0,0.044580400581330885,0.06365140430762846,15.780153877894204,3.799214072221005
Birch,"{'n_clusters': 6, 'threshold': 1.5}",6,0,0.044580400581330885,0.06365140430762846,15.780153877894204,3.799214072221005
Birch,"{'n_clusters': 6, 'threshold': 2.5}",6,0,0.052179347094425815,0.04913415980752091,15.68123468094517,3.1178008607354495
Birch,"{'n_clusters': 7, 'threshold': 0.5}",7,0,0.06407173724748659,0.055739174879083205,15.223470768662777,3.746182056273039
Birch,"{'n_clusters': 7, 'threshold': 1.5}",7,0,0.06407173724748659,0.055739174879083205,15.223470768662777,3.746182056273039
Birch,"{'n_clusters': 7, 'threshold': 2.5}",7,0,0.065058336903222,0.0570477582444084,14.98228933782254,3.800066176263354
Birch,"{'n_clusters': 8, 'threshold': 0.5}",8,0,0.06997726528753763,0.060179348060896906,14.534508809360503,3.6201431320782866
Birch,"{'n_clusters': 8, 'threshold': 1.5}",8,0,0.06997726528753763,0.060179348060896906,14.534508809360503,3.6201431320782866
Birch,"{'n_clusters': 8, 'threshold': 2.5}",8,0,0.07075494219767411,0.06449729876034296,14.28169103759012,3.6891434877109983
Birch,"{'n_clusters': 9, 'threshold': 0.5}",9,0,0.06605612849300711,0.06629872748546083,14.008845226645347,3.4053192380836736
Birch,"{'n_clusters': 9, 'threshold': 1.5}",9,0,0.06605612849300711,0.06629872748546083,14.008845226645347,3.4053192380836736
Birch,"{'n_clusters': 9, 'threshold': 2.5}",9,0,0.06683380540314358,0.06987208863574168,13.780170645469697,3.4640262529700157
Birch,"{'n_clusters': 10, 'threshold': 0.5}",10,0,0.06649738772162338,0.07361076581608743,13.371281485455594,3.2576875632160274
Birch,"{'n_clusters': 10, 'threshold': 1.5}",10,0,0.06649738772162338,0.07361076581608743,13.371281485455594,3.2576875632160274
Birch,"{'n_clusters': 10, 'threshold': 2.5}",10,0,0.0738380105442149,0.05593849140909729,13.173162357762418,3.6018326154831923
Birch,"{'n_clusters': 11, 'threshold': 0.5}",11,0,0.06649738772162338,0.0804666453855102,12.867166495384868,3.0683854941058812
Birch,"{'n_clusters': 11, 'threshold': 1.5}",11,0,0.06649738772162338,0.0804666453855102,12.867166495384868,3.0683854941058812
Birch,"{'n_clusters': 11, 'threshold': 2.5}",11,0,0.0738380105442149,0.06281416111103595,12.684184742556688,3.3789092144495156
Birch,"{'n_clusters': 12, 'threshold': 0.5}",12,0,0.06649738772162338,0.08316533362787563,12.414974295763377,2.9947650630968248
Birch,"{'n_clusters': 12, 'threshold': 1.5}",12,0,0.06649738772162338,0.08316533362787563,12.414974295763377,2.9947650630968248
Birch,"{'n_clusters': 12, 'threshold': 2.5}",12,0,0.07442133591266074,0.07029695106656265,12.29546288377157,3.265212500905824
Birch,"{'n_clusters': 13, 'threshold': 0.5}",13,0,0.08091885894235454,0.08666269839283539,12.027233052245306,2.873936382058118
Birch,"{'n_clusters': 13, 'threshold': 1.5}",13,0,0.08091885894235454,0.08666269839283539,12.027233052245306,2.873936382058118
Birch,"{'n_clusters': 13, 'threshold': 2.5}",13,0,0.07442133591266074,0.07355279057026687,11.941276409720606,3.1799423090154426
Birch,"{'n_clusters': 14, 'threshold': 0.5}",14,0,0.10240684016787265,0.09231177241359176,11.700548699754423,2.786504781804754
Birch,"{'n_clusters': 14, 'threshold': 1.5}",14,0,0.10240684016787265,0.09231177241359176,11.700548699754423,2.786504781804754
Birch,"{'n_clusters': 14, 'threshold': 2.5}",14,0,0.07442133591266074,0.08001124860902921,11.617079838804807,3.017490214116955
Birch,"{'n_clusters': 15, 'threshold': 0.5}",15,0,0.10240684016787265,0.09862751795378293,11.430969519584544,2.661946181436683
Birch,"{'n_clusters': 15, 'threshold': 1.5}",15,0,0.10240684016787265,0.09862751795378293,11.430969519584544,2.661946181436683
Birch,"{'n_clusters': 15, 'threshold': 2.5}",15,0,0.0888296972415148,0.08379292975411554,11.343804774768637,2.909294186105232
Spectral,"{'n_clusters': 2, 'assign_labels': 'kmeans', 'random_state': 42}",2,0,0.011205513979680084,-0.05483027771019178,1.6119405322606941,2.010379105409764
Spectral,"{'n_clusters': 3, 'assign_labels': 'kmeans', 'random_state': 42}",3,0,0.01110061478632744,-0.07387062547887055,1.536052076691041,1.878226170001902
